itemLabel,role,partyLabel,areaLabel
KAMARA BANDHIOUGOU Hilley,alternate,PCT,Impfondo district
SEKO Hyppolite,deputy,PCT,Bouanela
DANGUIME Martial,alternate,PCT,Bouanela
SABAYE Fernand,deputy,PCT,Bétou
BELEMBO Auguste,alternate,PCT,Bétou
DJOMBO Henri,deputy,PCT,Enyellé
BANZANI Sébastien Rigobert,alternate,PCT,Enyellé
MANIA Venance,deputy,PCT,Dongou
BELEMENE DZAMOND Hilaire,alternate,PCT,Dongou
TONO Marie Louise,deputy,PCT,Epena 1
MOULOUMBA Piorrot Jean Marc,alternate,PCT,Epena 1
BONGOUAMBE MOLOBO Baccer,deputy,PCT,Epena 2
MAKASSELA EWHAKOU Herdy,alternate,PCT,Epena 2
KANGA Jean Bruno,deputy,PCT,Liranga
DOLOBO BOKOCKOU Gabriel,alternate,PCT,Liranga
BAMBI GOMA Gerald Lone,deputy,Indépendant,Makélékélé 1
TSIAKOUAMA Christophe,alternate,Indépendant,Makélékélé 1
BADIABIO Joseph,deputy,Indépendant,Makélékélé 2
MALELA Bernard,alternate,Indépendant,Makélékélé 2
BOUDZIKA Bonaventure,deputy,CDR,Makélékélé 3
MATOKOT Aristide,alternate,CDR,Makélékélé 3
MAMBOUO née SITA Olga Clarisse,deputy,Indépendant,Makélékélé 4
LOUBANGASSOU Daniel,alternate,Indépendant,Makélékélé 4
MATSIMA KIMBEMBE Préference,deputy,Indépendant,Bacongo 1
BALOKI Gisèle,alternate,Indépendant,Bacongo 1
KIBOZI Régis Joseph,deputy,Indépendant,Bacongo 2
LOKO Etienne,alternate,Indépendant,Bacongo 2
KOURISSA Jean De Dieu,deputy,PCT,Poto-poto 1
BOBOT Pascal Edmond,alternate,PCT,Poto-poto 1
OPIMBAT née MBOUNDZA MOKE EKOTIKAMBI Charlotte,deputy,PCT,Poto-poto 2
NGOUMBA Gabriel,alternate,PCT,Poto-poto 2
GASSACKYS Ferrol Constant Patrick,deputy,PCT,Poto-poto 3
MPIKA MAMPASSI René,alternate,PCT,Poto-poto 3
MOUAGNI Aimé Hydevert,deputy,CPR,Moungali 1
KOUAZAU MAU Yvon Brice,alternate,CPR,Moungali 1
INGANI INES NEFER Bertille,deputy,PCT,Moungali 2
BAMBA Octave,alternate,PCT,Moungali 2
MOUSSODIA Jean Didace Médard,deputy,PULP,Moungali 3
MAYOYO Rémy Pierre,alternate,PULP,Moungali 3
MONDELE Juste Désiré,deputy,CLUB 2002 PUR,Ouenzé 1
AKOUALA GAMBOU Francis Rivelin,alternate,CLUB 2002 PUR,Ouenzé 1
ONDZE Dominique,deputy,PCT,Ouenzé 2
KIBOYI Omer,alternate,PCT,Ouenzé 2
OYO EMBOUNOU Jules Junior Romy,deputy,PCT,Ouenzé 3
OKEMBA PITY Nathalie Sylvie,alternate,PCT,Ouenzé 3
GOUAMBA Ninon Pachel,deputy,Indépendant,Ouenzé 4
MBATANI Gogel,alternate,Indépendant,Ouenzé 4
NIANGA Blandine,deputy,PCT,Talangai 1
MBONGO MVOULI OBAMBESSA Luther,alternate,PCT,Talangai 1
IBOVI Jean Claude,deputy,MDP,Talangai 2
GAMPFINA BAMPE Bory,alternate,MDP,Talangai 2
OBAMBI Pierre,deputy,PCT,Talangai 3
ETOUA Claver David,alternate,PCT,Talangai 3
ELENGA Faustin,deputy,PCT,Talangai 4
OFAMALEKOU Ghislain Urbain,alternate,PCT,Talangai 4
LEMBOUMBA née IKIA SASSOU-NGUESSO Claudia,deputy,PCT,Talangai 5
LENGA Isidore,alternate,PCT,Talangai 5
SAMBA Sylvain,deputy,Indépendant,Mfilou 1
NFOUTOU NKOUNGA Antoine,alternate,Indépendant,Mfilou 1
BIDIE BIAMBEMBA Placide Helb,deputy,RC,Mfilou 2
OYINDZA Emmanuel,alternate,RC,Mfilou 2
MALONGA Nicolas Jean Jacques,deputy,Indépendant,Madibou
BASSEGELA née BIANFOUANA Albertine,alternate,Indépendant,Madibou
TIELE GAMBIA OLOU Antoinette,deputy,PCT,Djiri 1
IKANI OBAMBI Maurice,alternate,PCT,Djiri 1
NGAMBILI IBAM Bersol Exaucé,deputy,PCT,Djiri 2
NOUMAZALALI Linda,alternate,PCT,Djiri 2
NYANGA ELENGA André,deputy,PCT,Ile Mbamou
OFOUNGA Joseph,alternate,PCT,Ile Mbamou
